card_id,label1b,confidence1b,channels1b,detail1b,justification1b
tb2_adaptive-rejection-sampler__sNuF5zZ_18,PRODUCTIVE,high,I,,"Steps 12–18 create /app/ars.R with the ars function and input validation; durable implementation edit survives."
tb2_bn-fit-modify__MXHjNK8_18,PRODUCTIVE,high,E/I/V,,"13–15 diagnose the pgmpy API change, switch to LinearGaussianCPD, script runs exit 0 after ImportError."
tb2_build-pov-ray__RLBcWPD_63,PRODUCTIVE,high,I,,"Steps 54–63 add stdlib.h includes to ten build sources; durable task-relevant edits that survive the window."
tb2_cobol-modernization__D37VA7b_116,DONE_REDUNDANT,high,none,,"104–106 already proved all data files identical; 107–116 re-run comparisons and list files with no new goal."
tb2_cobol-modernization__wX7wSXK_32,PRODUCTIVE,medium,E,,"26–30 diff exposes the Python/COBOL balance mismatch, ruling out assumed PIC 9(10) integer math; 31 instruments the source."
tb2_compile-compcert__DkH2JMz_69,PRODUCTIVE,medium,E,,"60–69 locate version plumbing (driver/Version.ml, Makefile BUILDVERSION) needed to reach the required ccomp 3.13.1 build."
tb2_configure-git-webserver__KfqGfWa_16_ctrlPROD,PRODUCTIVE,high,I/V,,"13–16 install openssh-server, create the bare repo and post-receive hook, fix /run/sshd, start sshd with exit 0."
tb2_configure-git-webserver__Noh5oyF_25,PRODUCTIVE,high,E/I,,"17–18 curl fails and the log reveals undeclared $fh in git_httpd.pl; 20–24 rewrite and chmod that script."
tb2_custom-memory-heap-crash__dE3EWmb_97,PRODUCTIVE,high,E/I,,"90–95 object sizes and nm reveal the class is absent from user.o; 96 edits the permitted /app/user.cpp."
tb2_db-wal-recovery__mUwQ8nv_33,STAGNANT,medium,none,repeat_search,"24–25 repeat filesystem searches for the missing WAL with no match; 26–33 restate the known conclusion."
tb2_db-wal-recovery__rwGVtyu_32,STAGNANT,medium,none,no_new_information,"Steps 23–31 yield empty terminal output; 26 and 32 are JSON parse errors; nothing new learned or changed."
tb2_db-wal-recovery__urEH2nP_67,STAGNANT,medium,none,no_tool_text_loop,"58 file absent; 59–60 write JSON with no DB extraction; 61–67 re-read and repeat it, adding nothing."
tb2_dna-assembly__o5NzHz7_19_ctrlSTAG,PRODUCTIVE,medium,E/I,,"13–15 install primer3/oligotm; 16–19 probes locate egfp at 210 with a 714/717 match — new sequence evidence."
tb2_extract-moves-from-video__vRcGj7U_50,STAGNANT,medium,none,no_new_information,"41–50 shell steps return empty terminal output; only 43 shows a stopped script, no transcription progress."
tb2_extract-moves-from-video__ZE44RbF_81,PRODUCTIVE,medium,E/I,,"72 reports 140 key frames cropped and stitched_commands.png saved; 73 reads that artefact — new pipeline output."
tb2_feal-linear-cryptanalysis__jbbLGgC_36,STAGNANT,high,none,no_tool_text_loop,"27–36 repeatedly echo and restate the same missing-files message; no new evidence, durable change or verification."
tb2_financial-document-processor__w7XM5qk_84,PRODUCTIVE,high,E/I,,"75–80 OCR greps extract amounts, write process_final.sh, and generate summary.csv with invoice and total rows."
tb2_financial-document-processor__ygK3UcB_27,PRODUCTIVE,high,E/I/V,,"19–24 locate a usable interpreter, 25–26 ensurepip installs pip with exit 0, 27 installs pytesseract."
tb2_fix-code-vulnerability__uLGMMUD_72,PRODUCTIVE,medium,E,,"63–72 grep and read redirect, error template, parse_auth and other candidate functions, narrowing the CWE location."
tb2_fix-ocaml-gc__wouZCwt_37,BLOCKED_EXTERNAL,medium,none,,"28–37 wait on the in-flight OCaml build; identical OCAMLC output repeats and no channel moves."
tb2_headless-terminal__jL4JdXw_99,PRODUCTIVE,high,E/V,,"91–92 list /app showing headless_terminal.py exists; 97–98 run the demo, producing shell output that confirms it."
tb2_install-windows-3.11__er9h2Gw_49,STAGNANT,medium,none,repeat_search,"41–48 retry malformed grep/head commands against the nginx path, getting only syntax errors; nginx still down."
tb2_install-windows-3.11__mUYmJ4a_96,PRODUCTIVE,high,E/I,,"89–93 QMP reports guest SHUTDOWN, qemu is restarted, screendump saved as PNG for inspection."
tb2_kv-store-grpc__FzjoxkQ_26,PRODUCTIVE,medium,E/I,,"18–24 grpc_tools is unimportable although pip lists grpcio-tools 1.73.0; 25–26 reinstall is a durable fix attempt."
tb2_largest-eigenval__KJWcZ8D_55,PRODUCTIVE,medium,E,,"49–53 show eigen.py matches the reference, LAPACK unloadable, numpy on OpenBLAS — optimization routes ruled out by evidence."
tb2_mailman__7MqVPwC_31,PRODUCTIVE,high,E/I,,"22–28 durably edit mailman.cfg and postfix cfg; 27 mailman info exposes the ignored db url; 30–31 clarify command syntax."
tb2_mailman__cC4xXg9_62,PRODUCTIVE,high,E/I/V,,"53–59 locate and symlink master and runner, moving past each startup error; 61 runners restart, so the service starts."
tb2_make-doom-for-mips__s3rm6vN_14_ctrlPROD,PRODUCTIVE,high,E/I,,"5–11 learn vm.js expects the doomgeneric_mips ELF and my_stdlib.h is missing; 12–13 install the MIPS cross-compiler."
tb2_make-doom-for-mips__tHguAnp_24,PRODUCTIVE,high,E/I,,"17–20 record findings and restructure the plan; 22–24 apt update and mipsel-linux-gnu-gcc 12.2.0 confirm a ready toolchain."
