card_id,label2b,confidence2b,channels2b,detail2b,justification2b
tb2_adaptive-rejection-sampler__sNuF5zZ_41,PRODUCTIVE,medium,I/V,,"Step 38 yields a new error ('x' not found in sample_from_p); edits at 34 and 40 to ars.R survive and 41 re-runs the test."
tb2_bn-fit-modify__MXHjNK8_35,PRODUCTIVE,medium,I/E,,"Step 29 creates solve_bn_part1.py; steps 30-35 refine it and step 35 rules out alpha tuning, since PC still finds 7 edges."
tb2_build-pov-ray__RLBcWPD_85,PRODUCTIVE,medium,I/E,,"Step 79 edits dump.c and 80 recompiles; 83 rules out the freopen hypothesis; 84 shows illum1.tga renders non-empty (30018 bytes)."
tb2_cobol-modernization__D37VA7b_27,PRODUCTIVE,medium,E/I,,"Steps 23-24 compile the reference COBOL program and 26 shows its output 'Transaction failed due to validation errors'; 18 finds cobc."
tb2_cobol-modernization__wX7wSXK_55,REGRESSION,medium,E/I,,"Step 46's hex dump rules out the scaling hypothesis, but 50 overwrites INPUT.DAT and 52-53 break program.cbl, so cobc now fails to compile."
tb2_compile-compcert__qeLnFSj_18,PRODUCTIVE,medium,E/I,,"Step 13 exposes the missing menhirLib package that blocks the build and 18 confirms it is absent, while 15 edits configure to work around it."
tb2_configure-git-webserver__KfqGfWa_16,PRODUCTIVE,high,I/V,,"Step 13 installs openssh-server and creates the directories; 14 writes the post-receive hook; 16 gets sshd running (exit 0)."
tb2_configure-git-webserver__Noh5oyF_32,DONE_REDUNDANT,medium,none,post_completion,"Step 27's curl already returned 'hello world', the task's success criterion, yet 28-32 churn services and wipe the repo and web root."
tb2_db-wal-recovery__6nzz2fq_106,STAGNANT,medium,none,irrelevant_exploration,"Steps 97-106 rummage through /proc/mountinfo, docker overlay dirs and /dev/md plus missing docker auth files; nothing new about the WAL or recovered.json."
tb2_db-wal-recovery__mUwQ8nv_47,STAGNANT,high,none,no_tool_text_loop,"Steps 38-46 repeat the same no-tool 'WAL missing' message with no new terminal output; 47's ls only repeats the known listing of main.db."
tb2_db-wal-recovery__rwGVtyu_37,STAGNANT,medium,none,no_new_information,"Steps 28-36 are a hung terminal: repeated Ctrl+C with empty output until 36 kills it; only 37's /root listing is new."
tb2_dna-assembly__b5N2XyK_11_ctrlSTAG,STAGNANT,medium,none,no_new_information,"Steps 2-11 only probe tool availability (python and python3 not found, apt update) and return nothing about primer design or the sequences."
tb2_dna-assembly__o5NzHz7_19,PRODUCTIVE,high,E/I,,"Step 14 installs oligotm and 17-19 each locate something new: egfp at 210, a 714/717 match, and the linker junction."
tb2_extract-moves-from-video__vRcGj7U_76,PRODUCTIVE,medium,V,,"Steps 71-76 show monotone frame-processing progress (5 to 21 of 134) from the extraction job feeding the transcript."
tb2_feal-linear-cryptanalysis__923TJt4_119,STAGNANT,high,none,no_new_information,"Steps 110-119 poll the same background attack ten times; every observation is the identical 'status running' with no output."
tb2_feal-linear-cryptanalysis__jbbLGgC_62,STAGNANT,high,none,no_tool_text_loop,"Steps 53-62 repeat the same echo command and 'files are missing' analysis verbatim; the observation never changes, giving no new evidence."
tb2_financial-document-processor__yFUb7zw_19,PRODUCTIVE,high,E,,"Steps 10-19 read six distinct documents, classifying each as invoice or other (11, 12, 14, 16, 18) and capturing their field layouts."
tb2_financial-document-processor__ygK3UcB_57,STAGNANT,medium,none,repeat_verify,"Steps 50-54 re-issue the same pytesseract VAT check on JOiylq2_7S18.jpg with an identical PatternError and no edit between attempts."
tb2_fix-ocaml-gc__EE2S8BX_110,PRODUCTIVE,high,I/E,,"Steps 101-108 make durable shared_heap.c edits fixing named compiler errors (hd undeclared at 1291, h undeclared at 1433); 109 rebuilds."
tb2_fix-ocaml-gc__wouZCwt_58,PRODUCTIVE,medium,I/V,,"Step 51 applies and keeps a shared_heap.c fix; 52-53 rebuild cleanly, moving the failure from compile errors to a runtime segfault at 54."
tb2_install-windows-3.11__2UtJ22k_19,PRODUCTIVE,high,I/V,,"Steps 11-12 install QEMU and start the VM with -snapshot -vnc :1 -qmp; 15-17 confirm the process, QMP socket and screenshots."
tb2_install-windows-3.11__er9h2Gw_71,PRODUCTIVE,medium,E/V,,"Steps 62-64 confirm VNC 5901, websockify 6080 and nginx 80; 67 and 71 show the boot log advancing and 69's QMP key send succeeds."
tb2_install-windows-3.11__S59DCLX_16,STAGNANT,medium,none,no_tool_text_loop,"Steps 8-16 return the byte-identical wedged-terminal output while repeating the same 'commands typed but not executed' analysis; nothing advances."
tb2_kv-store-grpc__FzjokxQ_34,PRODUCTIVE,high,E/V,,"Step 30 locates grpc_tools in /usr/local/lib site-packages; 34's PYTHONPATH export makes the previously failing import succeed."
