card_id,label5,confidence5,boundary5,channels5,detail5,justification5
tb2_bn-fit-modify__MXHjNK8_13_ctrlPROD,PRODUCTIVE,high,false,E/I/V,,Errors advance each run: missing pandas (5) to pgmpy import failure (10) to GaussianCPD ImportError (12); step 13 finds the renamed API.
tb2_build-pov-ray__RLBcWPD_21,PRODUCTIVE,high,false,E/I/V,,"Steps 12-19 read unix.doc, then durably create build dir, copy sources, set config.h and makefile; step 20 reveals the missing toolchain."
tb2_chess-best-move__BjEPAPk_27,DONE_REDUNDANT,medium,false,none,,Task already done and verified at steps 15-16 (move.txt=e2e4); the window adds no new goal, only re-reading move.txt (24) and reinstalling python-chess (26-27).
tb2_cobol-modernization__w7XwSXK_10_ctrlPROD,PRODUCTIVE,high,false,E/I/V,,Step 4 creates program.py from the COBOL layout; steps 6-9 compile the COBOL baseline, diff outputs and expose the 22-byte struct error.
tb2_compile-compcert__DkH2JMz_41,PRODUCTIVE,high,false,E/I/V,,Step 32 shows Coq 8.18 unsupported; 33-36 read configure and install deps, 37-38 rerun configure/make, 40-41 fetch and unpack Coq 8.16.1.
tb2_compile-compcert__qeLnFSj_49,BLOCKED_EXTERNAL,medium,false,none,,Step 48's opam switch/repository setup times out after 683s with the coq-released download still in flight; step 49 continues that same external operation.
tb2_configure-git-webserver__KfqGfWa_46,DONE_REDUNDANT,high,false,none,,Server verified at steps 24-28 (push plus curl hello world); the window only re-runs clone/commit/push/curl end-to-end tests (37-46) with no new goal.
tb2_custom-memory-heap-crash__dE3EWmb_202,PRODUCTIVE,high,false,E/I/V,,Step 193 edits user.cpp and 195 rebuilds so release no longer segfaults; 196-199 rule out the destructor theory, finding conflicts only in operator delete.
tb2_db-wal-recovery__6nzz2fq_78,STAGNANT,medium,false,none,repeat_search,Steps 69-75 again search for the absent main.db-wal in daytona and docker paths and 76-78 return nothing new; no recovery artefact or verification movement.
tb2_db-wal-recovery__rwGVtyu_25_ctrlSTAG,PRODUCTIVE,high,false,E,,Step 16 confirms the WAL is absent after unlink; 18-21 rule out docker, ctr and crictl and enumerate container layers, redirecting the recovery strategy.
tb2_db-wal-recovery__urEH2nP_38,PRODUCTIVE,high,false,E/I/V,,Step 30 shows recovered.sql holds only errors; step 34 finds items data in the WAL strings and 35-38 extracts five records and starts writing JSON.
tb2_dna-assembly__b5N2XyK_56,PRODUCTIVE,high,false,E,,Steps 48-56 iterate primer boundaries and oligotm melting temperatures, ruling out a 49.28C design and reaching 66-68C inside the 58-72C rule.
tb2_dna-assembly__o5NzHz7_56,PRODUCTIVE,high,false,E/I,,Steps 47-53 verify BsaI cut fragments and per-pair Tm differences; step 56 computes the final eight primers and 55 confirms assembled length 3591.
tb2_extract-moves-from-video__ZE44RbF_46,PRODUCTIVE,high,false,E,,Each step 37-46 yields new OCR transcript lines with timestamps from the video; the transcript knowledge genuinely grows inside the window.
tb2_feal-linear-cryptanalysis__923TJt4_89,STAGNANT,medium,false,none,repeat_verify,Steps 80-89 re-issue BashOutput polls of the same shell returning status running with no new output; no learning, no edit and no verification movement.
tb2_financial-document-processor__w7XM5qk_35,STAGNANT,medium,false,none,repeat_verify,Steps 26-35 repeat tesseract runs and greps on 2lgKzDuI4E4g.jpg, returning the same 6558 lines and 0-value summary.csv; 29 and 33 give syntax errors.
tb2_financial-document-processor__yFUb7zw_57,PRODUCTIVE,high,false,I/V,,Extraction returns real totals: PDFs 4031.0/896.0/440.0 (51-54) and JPG 4382 (54); step 55 then localises the Total versus Amount due bug.
tb2_fix-code-vulnerability__uLGMMUD_156,PRODUCTIVE,high,false,E/I,,"Step 148 pins _hval as the unvalidated header path; step 150 creates /app/report.jsonl with cwe-113 and 156 locates lines 1565-1567 for the edit."
tb2_fix-ocaml-gc__EE2S8BX_88,PRODUCTIVE,medium,false,E/I,,Step 79 durably removes the unused end variable; 83-84 establish that removing the merging logic caused free(): invalid size, driving a principled revert from 85.
tb2_headless-terminal__jL4JdXw_40,PRODUCTIVE,high,false,I,,"Steps 32 and 36 fail with insert_line 135 errors, but step 40's python patch inserts set_winsize successfully and the change survives in later reads."
tb2_install-windows-3.11__2UtJ22k_40,DONE_REDUNDANT,high,false,none,,Task done and verified at steps 22-24 (desktop screenshot plus HTTP 200); the window only re-verifies the same configuration from steps 32 to 40.
tb2_install-windows-3.11__mUYmJ4a_21,PRODUCTIVE,medium,false,E/I,,Step 15 identifies the image as a DOS/MBR boot sector and 13-14 create and chmod start_win311_vm.sh; 17-21 locate the nginx config.
tb2_install-windows-3.11__S59DCLX_46,STAGNANT,medium,false,none,no_new_information,Steps 37-46 repeat the same stuck-terminal polling and Ctrl+C attempts against an unchanged Slirp error line; nothing new is learned and no state changes.
tb2_largest-eigenval__KJWcZ8D_23,PRODUCTIVE,medium,false,E/V,,Steps 15-16 rule out power iteration on accuracy and speed; 17-23 time and re-verify the implementation (residual 6e-15, 26.68us at 10x10).
