card_id,label,confidence,boundary,channels,detail,reason
d_tb2_cobol-modernization__z8rbv6p_77,PRODUCTIVE,high,false,V,,"Step 70 cmp shows zero diffs for case1; steps 71-77 set up and run case2 parity check"
d_tb2_cobol-modernization__z8rbv6p_9,PRODUCTIVE,high,true,E,,"Steps 1-3 read COBOL source and data; step 6 od output reveals record encoding"
d_tb2_compile-compcert__3AjSGCy_11,PRODUCTIVE,high,false,E,,"Steps 3-4 reveal missing ocamlc and root access; steps 7-11 inspect fetched source tree"
d_tb2_compile-compcert__3AjSGCy_13,PRODUCTIVE,medium,false,E,,"Step 5 apt-get setup; steps 7-11 source inspection; step 13 download diagnostics"
d_tb2_compile-compcert__3AjSGCy_15,PRODUCTIVE,medium,false,E,,"Steps 8-11 diagnose source layout; steps 13-15 record download failures"
d_tb2_compile-compcert__3AjSGCy_17,PRODUCTIVE,medium,false,E,,"Steps 9-11 inspect Makefile and extraction; steps 16-17 install Coq and Menhir"
d_tb2_compile-compcert__3AjSGCy_18,PRODUCTIVE,high,false,E,,"Step 18 configure reports Coq 8.18 unsupported; pinpoints exact version constraint"
d_tb2_compile-compcert__3AjSGCy_19,PRODUCTIVE,high,false,E,,"Step 18 gives precise Coq version error; step 19 installs the required toolchain"
d_tb2_compile-compcert__3AjSGCy_21,PRODUCTIVE,medium,false,E,,"Step 18 gives Coq version requirement; steps 19-21 install and reconfigure toward it"
d_tb2_compile-compcert__3AjSGCy_22,PRODUCTIVE,medium,false,E,,"Steps 16-22 replace Coq and retry; step 18 error narrows the version requirement"
d_tb2_compile-compcert__3AjSGCy_23,PRODUCTIVE,medium,false,E,,"Step 18 Coq version error; steps 19-23 install correct Coq and retry configure"
d_tb2_compile-compcert__3AjSGCy_25,PRODUCTIVE,medium,false,E,,"Step 18 Coq error; steps 19-25 install 8.16 and configure succeeds before build"
d_tb2_compile-compcert__3AjSGCy_26,PRODUCTIVE,medium,false,V,,"Steps 24-25 configure then make after Coq switch; step 26 reads installed Coq libs"
d_tb2_compile-compcert__3AjSGCy_27,PRODUCTIVE,high,false,V,,"Step 24 configure and 25 build after Coq 8.16; steps 26-27 read installed MenhirLib"
d_tb2_compile-compcert__3AjSGCy_29,PRODUCTIVE,high,false,V,,"Steps 24-25 configure and build succeed; steps 26-29 read built MenhirLib and configure"
d_tb2_compile-compcert__3AjSGCy_31,PRODUCTIVE,high,false,V,,"Step 24 configure and 25-30 make runs succeed; steps 26-29 read build inputs"
d_tb2_compile-compcert__3AjSGCy_32,PRODUCTIVE,high,false,V,,"Step 24 configure; steps 25 and 30 make progress; steps 26-29 read build inputs"
d_tb2_compile-compcert__3AjSGCy_33,PRODUCTIVE,high,false,V,,"Step 24 configure after Coq fix; steps 25 and 30 make runs; steps 26-29 read inputs"
d_tb2_compile-compcert__3AjSGCy_35,PRODUCTIVE,medium,false,V,,"Step 24 configure and 25-35 repeated make invocations advance the build"
d_tb2_compile-compcert__3AjSGCy_36,PRODUCTIVE,medium,false,V,,"Steps 27-29 read build inputs; steps 30 and 35 run make on the configured tree"
d_tb2_compile-compcert__3AjSGCy_37,PRODUCTIVE,high,false,I,,"Step 37 installs Coq 8.16.1 successfully; steps 34-35 search and rebuild"
d_tb2_compile-compcert__3AjSGCy_39,PRODUCTIVE,high,false,I,,"Step 37 installs Coq 8.16.1; steps 38-39 build and install CompCert to /tmp/CompCert"
d_tb2_compile-compcert__3AjSGCy_40,PRODUCTIVE,high,false,V,,"Steps 38-39 build and install; step 40 ccomp --version confirms working compiler"
d_tb2_compile-compcert__3AjSGCy_41,DONE_REDUNDANT,medium,false,V,post_completion,"Step 40 ccomp verifies build complete; steps 32-39 were pre-completion; step 41 re-reads binary"
d_tb2_compile-compcert__3AjSGCy_43,DONE_REDUNDANT,low,true,V,post_completion,"Steps 39-40 complete and verify; steps 41-42 re-inspect ccomp and compile hello.c needlessly"
d_tb2_compile-compcert__3AjSGCy_9,PRODUCTIVE,high,false,E,,"Step 3 finds ocamlc missing on Ubuntu x86_64; step 9 reads extracted Makefile"
d_tb2_compile-compcert__ArM52Gs_11,PRODUCTIVE,high,false,I,,"Step 11 downloads CompCert tarball; step 7 dpkg error diagnosed and repaired"
d_tb2_compile-compcert__ArM52Gs_12,PRODUCTIVE,high,false,E,,"Steps 5-9 repair dpkg; step 11 downloads source; step 12 configure flag error"
d_tb2_compile-compcert__ArM52Gs_13,PRODUCTIVE,high,false,E,,"Step 7 dpkg interruption diagnosed; steps 11-13 download source and read configure"
d_tb2_compile-compcert__ArM52Gs_15,PRODUCTIVE,high,false,E,,"Step 14 configure reports Coq NOT FOUND 8.13.2; steps 10-13 reveal toolchain state"
d_tb2_crack-7z-hash__gpBub6y_11,PRODUCTIVE,medium,false,E,,"Step 3 locates secrets.7z and john; steps 4-11 establish available extraction tooling"
