card_id,label2,confidence2,boundary2,channels2,detail2,justification2
tb2_adaptive-rejection-sampler__sNuF5zZ_41,PRODUCTIVE,medium,false,I/E,,"Step 38 yields a new error ('x' not found in sample_from_p); edits at 34 and 40 to ars.R survive and 41 re-runs the test."
tb2_bn-fit-modify__MXHjNK8_35,PRODUCTIVE,medium,false,I/E,,"Step 29 creates solve_bn_part1.py; steps 30-35 refine it and step 35 rules out alpha tuning, since PC still finds 7 edges."
tb2_build-pov-ray__RLBcWPD_85,PRODUCTIVE,high,false,I/E,,"Step 79 edits dump.c and 80 recompiles; 83 rules out the freopen hypothesis; 84 shows illum1.tga renders non-empty (30018 bytes)."
tb2_cobol-modernization__D37VA7b_27,PRODUCTIVE,medium,false,E,,"Steps 23-24 compile the reference COBOL program and 26 shows its output 'Transaction failed due to validation errors'; 18 finds cobc."
tb2_cobol-modernization__wX7wSXK_55,PRODUCTIVE,low,true,E,,"Steps 46-49 decode golden TRANSACTIONS/ACCOUNTS byte formats and rule out the scaling hypothesis, but 50-53 destroy INPUT.DAT and break the COBOL build."
tb2_compile-compcert__qeLnFSj_18,PRODUCTIVE,medium,false,E,,"Step 9 lists the CompCert source tree; 13 exposes the actionable 'ocamlfind: Package menhirLib not found' blocker that shapes the eventual fix."
tb2_configure-git-webserver__KfqGfWa_16_ctrlPROD,PRODUCTIVE,high,false,I/V,,"Step 13 installs openssh-server and creates the directories; 14 writes the post-receive hook; 16 gets sshd running (exit 0)."
tb2_configure-git-webserver__Noh5oyF_32,PRODUCTIVE,high,false,I/V,,"Step 23 rewrites git_httpd.pl and 27's curl returns 'hello world', the task's success criterion, after failing with exit 7 at 17."
tb2_db-wal-recovery__6nzz2fq_106,STAGNANT,medium,false,none,irrelevant_exploration,"Steps 97-106 rummage through /proc/mountinfo, docker overlay dirs and /dev/md plus missing docker auth files; nothing new about the WAL or recovered.json."
tb2_db-wal-recovery__mUwQ8nv_47,STAGNANT,high,false,none,no_tool_text_loop,"Steps 38-46 repeat the same no-tool 'WAL missing' message with no new terminal output; 47's ls only repeats the known listing of main.db."
tb2_db-wal-recovery__rwGVtyu_37,STAGNANT,medium,false,none,no_new_information,"Steps 28-36 are a hung terminal: repeated Ctrl+C with empty output until 36 kills it; only 37's /root listing is new."
tb2_dna-assembly__b5N2XyK_11_ctrlSTAG,STAGNANT,low,false,none,no_new_information,"Steps 4-11 are repeated shell probes (python/python3 not found, apt update) with no primer-design information gained; sequences.fasta was already known."
tb2_dna-assembly__o5NzHz7_19_ctrlSTAG,PRODUCTIVE,high,false,E/I,,"Step 14 installs oligotm and 17-19 each locate something new: egfp at 210, a 714/717 match, and the linker junction."
tb2_extract-moves-from-video__ZE44RbF_70,PRODUCTIVE,medium,true,I/E,,"Steps 61-65 wait with empty output, but 68 creates extract_ambiguous.py and 69 reads frame_17733.png yielding the move 'open trap'."
tb2_feal-linear-cryptanalysis__923TJt4_119,STAGNANT,medium,false,none,no_new_information,"Steps 110-119 poll the same background attack ten times; every observation is the identical 'status running' with no output."
tb2_feal-linear-cryptanalysis__jbbLGgC_62,STAGNANT,medium,false,none,no_tool_text_loop,"Steps 53-62 repeat the same echo command and 'files are missing' analysis verbatim; the observation never changes, giving no new evidence."
tb2_financial-document-processor__yFUb7zw_19,PRODUCTIVE,high,false,E,,"Steps 10-19 read six distinct documents, classifying each as invoice or other (11, 12, 14, 16, 18) and capturing their field layouts."
tb2_financial-document-processor__ygK3UcB_57,STAGNANT,medium,false,none,repeat_verify,"Steps 49-54 re-issue the same pytesseract VAT check on JOiylq2_7S18.jpg with an identical PatternError and no edit between attempts."
tb2_fix-ocaml-gc__EE2S8BX_110,PRODUCTIVE,high,false,I/E,,"Steps 101-108 make durable shared_heap.c edits fixing named compiler errors (hd undeclared at 1291, h undeclared at 1433); 109 rebuilds."
tb2_fix-ocaml-gc__wouZCwt_58,STAGNANT,medium,true,none,edit_revert,"Step 51 applies a fix, 52-53 rebuild, 54 still segfaults, and 58 restores the backup: no durable change, no verification movement."
tb2_install-windows-3.11__2UtJ22k_19,PRODUCTIVE,high,false,I/V,,"Steps 11-12 install QEMU and start the VM with -snapshot -vnc :1 -qmp; 15-17 confirm the process, QMP socket and screenshots."
tb2_install-windows-3.11__S59DCLX_34,STAGNANT,medium,false,none,no_tool_text_loop,"Steps 25-34 all return the byte-identical wedged-terminal output while repeating the same 'terminal is stuck, send Ctrl+C' analysis; nothing advances."
