card_id,label6,confidence6,boundary6,channels6,detail6,justification6
tb2_bn-fit-modify__MXHjNK8_18_ctrlSTAG,PRODUCTIVE,high,true,E/I/V,,"Steps 13-15: found LinearGaussianCPD, patched the import, script went exit 1 to exit 0. E/I/V advanced before the identical repeats at 16-18."
tb2_build-pov-ray__RLBcWPD_41,PRODUCTIVE,high,false,E/I/V,,"Steps 32-34 extracted povdoc includes, moving past the missing shapes.inc blocker to a segfault; 36-41 rebuilt the tree with debug flags."
tb2_chess-best-move__BjEPAPq_29,DONE_REDUNDANT,medium,false,none,,"move.txt was written and the mate verified at steps 12-16; steps 20-29 only re-report and re-verify with no new goal."
tb2_cobol-modernization__wX7wSXK_24,PRODUCTIVE,high,false,E/I/V,,"Step 16 parse fix made the script exit 0; step 18 diff matched COBOL output; 21-22 a valid INPUT.DAT ran COBOL successfully."
tb2_compile-compcert__DkH2JMz_60,PRODUCTIVE,high,false,E/I/V,,"Steps 55-57 make produced ccomp and it runs reporting 3.13; 58-60 read VERSION and tarball exposing the 3.13-versus-3.13.1 gap."
tb2_compile-compcert__qeLnFSj_60,STAGNANT,medium,false,none,repeat_search,"Steps 51-59 curl 404s, opam reports no compcert package, search scrapes fail with syntax errors; no edit, build or new fact."
tb2_configure-git-webserver__Noh5oyF_15,PRODUCTIVE,high,false,E/I/V,,"Steps 9-15 created the bare repo, git_httpd.pl and post-receive hook; the clone/commit/push cycle at 15 succeeded end to end."
tb2_custom-memory-heap-crash__dE3EWmb_56,PRODUCTIVE,medium,false,E/I,,"Steps 54-55 read main.cpp and identified the destructor at lines 33-39; user.cpp edits at 48, 52, 56 are durable artefact changes."
tb2_db-wal-recovery__mUwQ8nv_23,STAGNANT,high,false,none,no_tool_text_loop,"Steps 14-23 repeat an identical no-tool analysis and plan about the missing WAL, with no tool calls and no new output."
tb2_db-wal-recovery__rwGVtyu_27,STAGNANT,medium,false,none,no_new_information,"Steps 19-25 re-confirm the WAL is gone and one filesystem scan returns empty output until interrupted at 27; nothing learned, changed or verified."
tb2_db-wal-recovery__urEH2nP_46,STAGNANT,medium,false,none,no_new_information,"Steps 37-46 only reprint the already-known five rows as JSON without writing any file, plus task tracker and uname probes."
tb2_dna-assembly__b5N2XyK_73,PRODUCTIVE,medium,false,E,,"Steps 66-70 measured the snap 30-mer at Tm 73.8 (over the 72 limit) and accepted the 25-mer at 70.96, narrowing primer candidates."
tb2_extract-moves-from-video__vRcGj7U_18,PRODUCTIVE,medium,true,E/I,,"Step 14 recreated and ran extract_moves.py; steps 15 and 18 print processed frames and detected commands such as frame 330 '>n', new transcript data."
tb2_extract-moves-from-video__ZE44RbF_70,PRODUCTIVE,medium,true,E/I,,"Steps 66-69 abandoned the hung fast script for targeted frame OCR, yielding new command text ('open trap') for the transcript."
tb2_feal-linear-cryptanalysis__jbbLGgC_22,STAGNANT,medium,false,none,no_new_information,"Steps 13-22 issue the same echo with identical analysis and identical output; nothing new is learned about the supposedly missing input files."
tb2_financial-document-processor__w7XM5qk_58,PRODUCTIVE,high,false,E/I/V,,"Steps 51-56 wrote and reran process_final.sh, changing extracted totals and regenerating summary.csv; step 58 installed the missing bc."
tb2_financial-document-processor__ygK3UcB_117,PRODUCTIVE,high,false,I/V,,"Steps 108-114 durably edited the extraction regexes in process_documents.py; 115-116 ran it to completion, producing the summary.csv read at 117."
tb2_fix-code-vulnerability__uLGMMUD_28,PRODUCTIVE,medium,false,E,,"Steps 19-28 grep bottle.py and reveal add_header, eval and exec sites; step 26's add_header matches point at the eventual CWE-113 target."
tb2_fix-ocaml-gc__wouZCwt_21,PRODUCTIVE,high,false,E,,"Steps 13-18 localized the bug to pool_sweep line 626 and decoded the free-block format; step 19 backed up the file and drafted a fix."
tb2_headless-terminal__jL4JdXw_68,PRODUCTIVE,low,true,I,,"Steps 59-66 are text-only turns, but step 68 durably patched /app/headless_terminal.py, so the deliverable changed inside the window."
tb2_install-windows-3.11__er9h2Gw_30,PRODUCTIVE,high,false,I/V,,"Step 25 confirms VNC listening on 5901; step 29 shows the keyboard controller connecting and sending Return, satisfying two task requirements."
tb2_install-windows-3.11__mUYmJ4a_53,PRODUCTIVE,medium,false,E/V,,"Step 49 revealed machine type pc-i440fx-5.2, matching the required QEMU 5.2.0; step 52 dumped the running command line with -snapshot and -vnc :1."
tb2_install-windows-3.11__S59DCLX_52,STAGNANT,high,false,none,no_new_information,"Steps 43-52 repeat c-c, echo and pgrep against the same stuck terminal with identical Slirp output, plus unverified mark_task_complete attempts."
tb2_largest-eigenval__KJWcZ8D_36,PRODUCTIVE,medium,false,E,,"Steps 33 and 35 measured QR (778us) and SVD (93us, inaccurate residual) losing to LAPACK, ruling out two approaches by evidence."
tb2_llm-inference-batching-scheduler__ubwAnFp_66,PRODUCTIVE,high,false,E/I/V,,"Steps 57-66 rewrote plan_b1/b2.jsonl through the packing loop, learned that 17 requests need seq_align 2048 (step 60), and re-evaluated cost."
tb2_mailman__cC4xXg9_44,PRODUCTIVE,high,false,E/I/V,,"Step 35 found the correct module and class; 36-37 set the open subscription policy; 41-42 created the postfix transport and virtual maps."
tb2_make-doom-for-mips__7QckTNB_81,PRODUCTIVE,high,false,E/I,,"Steps 72-74 added vm_debug.js, revealing the entry point and an instruction dump; 76-81 edited the Makefile, added link.ld and rebuilt."
tb2_make-doom-for-mips__tHguAnp_10_ctrlSTAG,PRODUCTIVE,high,false,E,,"Steps 4-9 enumerate /app and read doomgeneric_img.c, the Makefile, doomgeneric.c and vm.js internals, gaining new relevant code knowledge."
