card_id,label,confidence,boundary,channels,detail,reason
d_tb2_feal-linear-cryptanalysis__L3Ts8kn_81,STAGNANT,medium,false,none,repeat_verify,"Steps 72-81 poll the same brute-force that step 72 already called hopeless; no edit"
d_tb2_feal-linear-cryptanalysis__L3Ts8kn_89,STAGNANT,medium,false,none,repeat_verify,"Steps 80-89 repeat the step-72 plan text and identical poll output; nothing changed"
d_tb2_feal-linear-cryptanalysis__L3Ts8kn_9,PRODUCTIVE,high,false,E/I,"Steps 1-7 read feal.c/pairs.txt and create compiling attack.c; test harness established"
d_tb2_feal-linear-cryptanalysis__L3Ts8kn_97,STAGNANT,medium,false,none,repeat_verify,"Steps 88-97 poll the same hopeless brute-force; no new information or edit"
d_tb2_financial-document-processor__fZuguYf_11,PRODUCTIVE,high,false,E/I,"Steps 6 and 9 classify 2lgKzDuI4E4g.jpg and 6NVuAIhTV4KB.jpg and move them successfully"
d_tb2_financial-document-processor__fZuguYf_12,PRODUCTIVE,high,false,E/I,"Steps 6;9;12 move three documents into invoices/other; classification advances"
d_tb2_financial-document-processor__fZuguYf_13,PRODUCTIVE,high,false,E/I,"Steps 6;9;12 move three documents into invoices/other; reading adds classifications"
d_tb2_financial-document-processor__fZuguYf_15,PRODUCTIVE,high,false,E/I,"Steps 6;9;12;15 move four documents into invoices/other; classification progresses"
d_tb2_financial-document-processor__fZuguYf_17,PRODUCTIVE,high,false,E/I,"Steps 9;12;15 move three documents; reading adds classifications"
d_tb2_financial-document-processor__fZuguYf_19,PRODUCTIVE,high,false,E/I,"Steps 12;15;18 move three documents into invoices/other; classification advances"
d_tb2_financial-document-processor__fZuguYf_21,PRODUCTIVE,high,false,E/I,"Steps 12;15;18;21 move four documents into invoices/other; classification advances"
d_tb2_financial-document-processor__fZuguYf_23,PRODUCTIVE,high,false,E/I,"Steps 15;18;21 move three documents into invoices/other; classification advances"
d_tb2_financial-document-processor__fZuguYf_25,PRODUCTIVE,high,false,E/I,"Steps 18;21;24 move three documents; step 24 invoices advance"
d_tb2_financial-document-processor__fZuguYf_27,PRODUCTIVE,high,false,E/I,"Steps 18;21;24;27 move four documents; invoice amounts extracted"
d_tb2_financial-document-processor__fZuguYf_29,PRODUCTIVE,high,false,E/I,"Steps 21;24;27 move three documents; classification advances"
d_tb2_financial-document-processor__fZuguYf_31,PRODUCTIVE,high,false,E/I,"Steps 24;27;30 move three documents; unique amount ordering learned"
d_tb2_financial-document-processor__fZuguYf_33,PRODUCTIVE,high,false,E/I,"Steps 24;27;30;33 move four documents into invoices/other; classification advances"
d_tb2_financial-document-processor__fZuguYf_35,PRODUCTIVE,high,false,E/I,"Steps 27;30;33 move three documents into invoices/other; classification advances"
d_tb2_financial-document-processor__fZuguYf_37,PRODUCTIVE,high,false,E/I,"Steps 30;33;36 move three documents into invoices/other; classification advances"
d_tb2_financial-document-processor__fZuguYf_39,PRODUCTIVE,high,false,E/I,"Steps 30;33;36;39 move four documents into invoices/other; classification advances"
d_tb2_financial-document-processor__fZuguYf_41,PRODUCTIVE,high,false,E/I,"Steps 33;36;39 move three documents into invoices/other; classification advances"
d_tb2_financial-document-processor__fZuguYf_43,PRODUCTIVE,high,false,E/I,"Steps 36;39;42 move three documents into invoices/other; classification advances"
d_tb2_financial-document-processor__fZuguYf_45,PRODUCTIVE,high,false,E/I,"Steps 36;39;42;45 move four documents into invoices/other; classification advances"
d_tb2_financial-document-processor__fZuguYf_47,PRODUCTIVE,high,false,E/I,"Steps 39;42;45 move three documents into invoices/other; classification advances"
d_tb2_financial-document-processor__fZuguYf_49,PRODUCTIVE,high,false,E/I,"Steps 42;45;48 move three documents; all invoices identified"
d_tb2_financial-document-processor__fZuguYf_51,PRODUCTIVE,high,false,E/I,"Steps 42;45;48;51 move four documents into invoices; classification advances"
d_tb2_financial-document-processor__fZuguYf_53,PRODUCTIVE,high,false,E/I,"Steps 45;48;51 move three documents into invoices; classification advances"
d_tb2_financial-document-processor__fZuguYf_54,PRODUCTIVE,high,false,E/I,"Steps 45;48;51;54 move four documents; last document classified other"
d_tb2_financial-document-processor__fZuguYf_55,PRODUCTIVE,high,false,E/I,"Steps 48;51;54 classify and move remaining documents; streams end at 54"
d_tb2_financial-document-processor__fZuguYf_9,PRODUCTIVE,high,false,E/I,"Steps 1-6 list directory and create dirs and move first jpg; step 9 moves second"
